Sentences,class
මම බත් කමි.,correct
මම තේ බොමි.,correct
මම ගමට යෙමි.,correct
මම ගීයක් ගයමි.,correct
මම පොත ලියමි.,correct
මම මුහුණ සෝදමි.,correct
මම ඇය දකිමි.,correct
මම තෑග්ගක් දෙමි.,correct
නුඹ බත් කන්නෙහි.,correct
නුඹ තේ බොන්නෙහි.,correct
නුඹ ගමට යන්නෙහි.,correct
නුඹ ගීයක් ගයන්නෙහි.,correct
නුඹ පොත ලියන්නෙහි.,correct
නුඹ නිවැරදි කරෙහි.,correct
නුඹ ඇය දක්නෙහි.,correct
ඔහු බත් කයි.,correct
ඇය තේ බොයි.,correct
ඔහු ගමට යයි.,correct
ඇය ගීයක් ගයයි.,correct
ඔහු පොත ලියයි.,correct
ඇය නිවැරදි කරයි.,correct
ඔහු එය දකියි.,correct
ඇය ඇදේ නිදාගනීයි.,correct
ඔහු ගසකට නගියි.,correct
ඇය ගමට පැමිණෙයි.,correct
අපි බත් කමු.,correct
අපි තේ බොමු.,correct
අපි ගමට යමු.,correct
අපි ගීයක් ගයමු.,correct
අපි පොතේ ලියමු.,correct
අපි නිවැරදි කරමු.,correct
අපි ඔවුන්ව දකිමු.,correct
අපි තෑග්ගක් දෙමු.,correct
අපි දැන් නිදාගනිමු.,correct
ඔවුහු බත් කති.,correct
ඔවුහු තේ බොති.,correct
ඔවුහු ගමට යති.,correct
ඔවුහු ගීයක් ගයති.,correct
ඔවුහු පොත ලියති.,correct
ඔවුහු නිවැරදි කරති.,correct
ඔවුහු ඇය දකිති.,correct
ඔවුහු ඔහුට දෙති.,correct
ඔවුහු නිදාගනිති.,correct
ඔවුහු පැමිණෙති.,correct
ගල බිම තිබේ.,correct
ජලය සිසිල් විය.,correct
ගස නිරෝගීව වැඩෙයි,correct
පොත එහි ඇත.,correct
සීතල සමතැන පැතිරෙයි.,correct
දොර සුළඟට හැරෙයි.,correct
පාර ඉතා දිගු ය.,correct
අහස නිල් වෙයි.,correct
පැන්සල වැටෙයි.,correct
සවසට හිරු බසීයි.,correct
රාත්‍රියට සඳ පායයි.,correct
වතුරේ කඩදාසිය පාවෙයි.,correct
වැට කැඩී තිබේ.,correct
දුම ඉහළ යයි.,correct
විදුලිය විසන්ධි විය.,correct
තත්වය වෙනස් විය.,correct
කාලය ගත වෙයි.,correct
ප්‍රශ්නය ඇති වෙයි.,correct
නිවස ලස්සන විය.,correct
රූපය මැකී යයි.,correct
මේසය සවි විය.,correct
වැස්ස පටන් ගනී.,correct
වර්ණය වෙනස් විය.,correct
පාඩම නිම වෙයි.,correct
නදිය ගලා යයි.,correct
කාමරය අඳුරු විය.,correct
බිත්තිය කැඩුණේ ය.,correct
පලතුර ඉදී ඇත.,correct
රසය වෙනස් විය.,correct
නිශ්ශබ්දතාව බිඳෙයි.,correct
වාතය සංසරණය වෙයි.,correct
ලෝකය පැවතියේ ය.,correct
සත්‍යය එළි වෙයි.,correct
රහස හෙළි විය.,correct
කවුළුව සුළඟට වැසෙයි.,correct
භාණ්ඩය විකිණෙයි.,correct
