Sentences,class
ගුරුවරයා පාඩම විචිත්‍ර ලෙස ඉගැන්වීය.,correct
මිනිසුන් ධර්මය නිතර පිළිගන්නවා වෙති.,correct
සූර්යයා උදෑසන පූර්ව දිශාවෙන් නැඟුණේය.,correct
රාජ්‍යය වෙත නව සභාවක් පත් කරන ලදී.,correct
උන්වහන්සේ විශාල ග්‍රන්ථයක් නිර්මාණය කළසේක.,correct
සිසුහු ක්‍රීඩාවේ දක්ෂතාව මැනවින් පෙන්වූහ.,correct
නගරය අතිශය ධනවත් ව්‍යාපාරිකයෙකු විය.,correct
ජනතාව සියලු දුක්ඛිත තත්ත්වයන්ට මුහුණ දුන්හ.,correct
ලෝකයේ ප්‍රගතිය සඳහා නිරතුරුව යෙදේ.,correct
භික්ෂූන් විහාරයේ නිශ්ශබ්දව ධර්මය සාකච්ඡා කළහ.,correct
රාජ්‍ය නිලධාරීන් රාජකාරි කාරණා පරෙස්සමින් විමසා බලති.,correct
අපගේ තීරණය මුළු දේශය වෙතම බලපෑමක් විය.,correct
උගත් පණ්ඩිතයන් ප්‍රඥාව මනාව පරිශීලනය කළෝය.,correct
සංචාරකයා රමණීය දර්ශන බැලීමට කන්ද නැග්ගේය.,correct
ඔහු සිය කුඩා අධ්‍යාපන කරුණු පසුපස ගියේය.,correct
කාර්යාලයේ සිටින සියල්ලෝම නව ව්‍යාපෘතිය පිළිගනිති.,correct
නියමිත කාලය තුළ වාර්තාව ඉදිරිපත් කිරීම අවශ්‍ය වේ.,correct
දරුවන් ගමේ ඇළ අසල සෙල්ලම් කළහ.,correct
ලේකම්වරයා අධ්‍යක්ෂ මණ්ඩලය වෙත නව තොරතුරු දැන්වීය.,correct
ශිෂ්‍යයා පාසලේ පැවැත්වෙන සියලු කර්තව්‍යයන් සම්පූර්ණ කළේය.,correct
ගොවියෝ කාලානුරූපව බිම් සකස් කළහ.,correct
අධිකාරිය නව නීති ශ්‍රීඝ්‍රයෙන් ක්‍රියාත්මක කෙළේය.,correct
ඔහුගේ විද්‍යාත්මක ගවේෂණය වඩා දියුණු විය.,correct
ප්‍රදේශවාසීහු විපතට පත්වූවන්ට සහනය සැලසූහ.,correct
රාත්‍රියේදී තරු අහසේ දීප්තිමත්ව දිස් විය.,correct
පුස්තකාලය අද දින විවෘත කරන ලදී.,correct
කවියෝ තම මනෝභාවයන් අලංකාරව නිරූපණය කළහ.,correct
රජතුමා සාමය වෙත විශේෂ දැක්මක් ඇත.,correct
පන්සලෙහි භික්ෂූන් ධර්මය නිතර උගන්වති.,correct
නැවියන් මුහුදේ විශාල යාත්‍රාවක් පැදවූහ.,correct
සියලු ජනතාව සමෘද්ධිය සඳහා සක්‍රීයව දායක වෙති.,correct
කෞතුකාගාරයේ සිටින පුරාණ වස්තූන් ඉතා වටිනේය.,correct
පරිපාලන කටයුතු සම්බන්ධව ලිපියක් පිළියෙළ කරන ලදී.,correct
ගුරුතුමිය නව ශිල්පක්‍රම කෙරෙහි වඩාත් උනන්දු වූවාය.,correct
අපගේ ඓතිහාසික උරුමය නිරතුරුව සුරැකීමට උත්සාහ කළ යුතුය.,correct
නව රාජ්‍ය ආයතනය ඉදිරිපත් කළ යෝජනා පිළිගත්තේය.,correct
විද්‍යාඥයන් ග්‍රහලෝක පිළිබඳව වඩාත් පුළුල් විමර්ශන කළහ.,correct
උත්සවය සඳහා විශාල පිරිසක් අවම කාලයකින් එකතු වූහ.,correct
වාර්තාකරුවෝ සිද්ධිය පිළිබඳව ගැඹුරු අධ්‍යයනයක් පැවැත්වූහ.,correct
ගෞරවනීය අමුත්තන් සැමදෙනාටම සුහදව කතා කළෝය.,correct
මහජනතාව සිය අවශ්‍යතා වෙනුවෙන් සටන් කළෝය.,correct
අදහාගත නොහැකි සිදුවීම් දෛනිකව වාර්තා විය.,correct
විශාල සංවර්ධන ව්‍යාපෘති කඩිනමින් ඇරඹෙනු ඇත.,correct
ගෞරවය සහ අවධානය ඔහුට ලැබෙනු ඇත.,correct
ලෝකයේ සාමය වෙනුවෙන් සියලු උත්සාහයන් යොදවයි.,correct
ජනප්‍රිය ගායකයා අලංකාර ගීතයක් ගැයීය.,correct
පාලකයෝ නිතරම ජනතාවගේ දේ ඇසූහ.,correct
අළුතින් පත්වූ විදුහල්පතිතුමා පාසල වෙත ආවේය.,correct
ප්‍රශ්න පිළිබඳව ගැඹුරු විමර්ශනයක් පැවැත්වූ බව දනිමු.,correct
ඔවුන්ගේ නව ව්‍යාපාරය ඉක්මනින් සාර්ථක විය.,correct
සියලු සාමාජිකයින් රැස්වීම වෙත පැමිණියේය.,correct
රාජ්‍ය ආයතන වඩාත් ඵලදායී විය යුතුය.,correct
නිදහස් අධ්‍යාපනය වටිනා දීමනාවක් වන්නේය.,correct
නවීන තාක්ෂණය වේගයෙන් ලෝකය වෙත පැතිරෙන්නේය.,correct
පුරාණ ගිවිසුම් අද දින අවලංගු විය.,correct
කලාකරුවා අපූර්ව චිත්‍රයක් අඳිනු ලැබීය.,correct
දේශීය සංස්කෘතිය ඉහළින් සුරැකීම වැදගත්ය.,correct
භූමිකම්පාව හේතුවෙන් විශාල හානියක් සිදුවිය.,correct
වෛද්‍යවරයා රෝගියා පරෙස්සමින් පරීක්ෂා කළේය.,correct
නිලධාරීහු විශේෂ කාර්යයක් සඳහා පත් කරන ලදී.,correct
