Sentences,class
මෙහෙ එන්න,correct
එහෙ යන්න,correct
මෙහෙ බලන්න,correct
බත් කන්න,correct
වතුර බොන්න,correct
මට දෙන්න,correct
මේක ගන්න,correct
ඒක නවත්තන්න,correct
දොර අරින්න,correct
ජනෙල් වහන්න,correct
දැන් නිදාගන්න,correct
දත් මදින්න,correct
පොත කියවන්න,correct
අකුරු ලියන්න,correct
අත් හෝදන්න,correct
මෙතන තියන්න,correct
දුවන්න ඉක්මනින්,correct
යන්න හෙමින්,correct
සමාවෙන්න කියන්න,correct
කතාවක් කියන්න,correct
රූපයක් අඳින්න,correct
මට බඩගිනියි,correct
මට පිපාසයි,correct
මට මහන්සියි,correct
මට සතුටුයි,correct
මට දුකයි,correct
ඒක මට ඕන,correct
මට උදව් ඕන,correct
මට රිදෙනවා,correct
හරි සීතලයි,correct
හරි රස්නෙයි,correct
මම යනවා,correct
මම මෙහෙ,correct
ටිකක් ඉන්න,correct
මට පුළුවන්,correct
මට බෑ,correct
මේ මොකක්ද?,correct
එයා කොහෙද?,correct
ඒ කවුද?,correct
ඒක ඇයි?,correct
යන්නේ කොහොමද?,correct
ආවේ කවදාද?,correct
ඒක මොකක්ද?,correct
හරි හොඳයි,correct
හරි දක්ෂයි,correct
හරි ලස්සනයි,correct
හරි ලොකුයි,correct
හරි පොඩියි,correct
මොකක්ද මේ?,correct
ඒක වැරදියි,correct
ඒක හරි,correct
අඬන්න එපා,correct
ගහන්න එපා,correct
ආයෙත් කරන්න,correct
ඒක අලුත්,correct
ඒක පරණ,correct
මෙහෙට එන්න,correct
එහෙට යන්න,correct
එළියට යන්න,correct
ඇතුළට එන්න,correct
පස්සට යන්න,correct
ලඟට එන්න,correct
හෙමින් යන්න,correct
ඉක්මන්ට දුවන්න,correct
උඩට නගින්න,correct
යටට යන්න,correct
වටේ කැරකෙන්න,correct
උඩ බලන්න,correct
යට බලන්න,correct
මෙතන නවතින්න,correct
දැන් එන්න,correct
ඒක දෙන්න,correct
මගේ එක ගන්න,correct
ඒක උස්සන්න,correct
බිම දාන්න,correct
මේක අරන් යන්න,correct
ඒක යවන්න,correct
කිරි බොන්න,correct
හෙමින් කන්න,correct
ඉක්මන්ට කන්න,correct
හපා ගන්න,correct
හොඳින් හපන්න,correct
කේක් කපන්න,correct
මූණ හෝදන්න,correct
හිස පීරන්න,correct
කමිසය අඳින්න,correct
වතුර නාන්න,correct
මේසෙ පිහින්න,correct
ඇඳුම් නමන්න,correct
කසල දාන්න,correct
මේක ලියන්න,correct
කරුණාකර කියන්න,correct
හොඳට අහන්න,correct
ඒක අල්ලන්න,correct
සිංදුවක් කියන්න,correct
අත්පුඩි ගසන්න,correct
දැන් නටන්න,correct
ඉක්මන්ට හැංගෙන්න,correct
දොර වහන්න,correct
ජනෙල් අරින්න,correct
අල්ලන්න එපා,correct
කඩන්න එපා,correct
මේක හදන්න,correct
තදින් අල්ලන්න,correct
මෙතන ඉන්න,correct
සපත්තු ගලවන්න,correct
මේස් අඳින්න,correct
වමට බලන්න,correct
දකුණට බලන්න,correct
මට පෙන්වන්න,correct
රෑට එන්න,correct
හෙට යන්න,correct
ඇඳුම් දාන්න,correct
සල්ලි දෙන්න,correct
පොතක් ලියනවා,correct
ලෙඩ නොවෙන්න.,correct
පැළය සිටුවන්න.,correct
කට පිහින්න,correct
කොට්ටේ තියන්න,correct
පුටුව හදන්න,correct
හෙමින් අදින්න,correct
පරිස්සම් වෙන්න,correct
ගෙදර යන්න,correct
ආයෙත් එන්න,correct
අත අල්ලන්න,correct
හඳ බලන්න,correct
ඇස් අරින්න,correct
ඇස් වහන්න,correct
නිශ්ශබ්ද වෙන්න,correct
ගහගන්න එපා,correct
හෙමින් කරන්න,correct
ඉක්මන්ට කරන්න,correct
ඇඳ හදන්න,correct
බෙහෙත් ගන්න,correct
කෙලින් ඉඳගන්න,correct
දැන් හිටගන්න,correct
ස්තුති කරන්න,correct
කරුණාවන්ත වෙන්න,correct
බල්ලා දුවනවා,correct
ඒක හොඳයිද?,correct
දැන් ඉවරද?,correct
මේක මගේද?,correct
ඔයාට හොඳද?,correct
ඇඳට එන්න,correct
පොත ගේන්න,correct
පරිස්සමෙන් ඉන්න,correct
කාගේ පොත?,correct
බොහොම ස්තූතියි,correct
සුභ උදෑසනක්,correct
සුභ රාත්‍රියක්,correct
පස්සෙ හම්බවෙමු,correct
මට සමාවෙන්න,correct
කමක් නෑ,correct
හරි පිරිසිදුයි,correct
හරි පැණිරසයි,correct
හරි ඇඹුල්,correct
හරි බරයි,correct
හරි සැහැල්ලුයි,correct
ඒක පිරිලා,correct
දවස දිගයි,correct
රෑ කළුයි,correct
හරි පොඩි,correct
හරි වැඩියි,correct
ඇඟිල්ලෙන් පෙන්වන්න,correct
කනට කොඳුරන්න,correct
ගැටය ගහන්න,correct
ගැටය ලිහන්න,correct
හෙමින් අල්ලන්න,correct
පහන් දල්වන්න,correct
හොඳින් බලන්න,correct
බෝලය පෙරළෙනවා,correct
වලාකුළ සුදුයි,correct
හරි විහිලුයි,correct
ඉර පායනවා,correct
සුළඟ හමනවා,correct
ඒක වැඩියි,correct
ඒක අඩුයි,correct
හෙට උදේ,correct
ඊයේ හවස,correct
ඊයේ රෑ,correct
ඊයේ පෙරේදා,correct
හැංගෙන්න එපා,correct
අදින්න එපා,correct
කෑම කන්න ,correct
ඇවිත් ඉඳගන්න,correct
සුභ රාත්‍රියක් ,correct
සුභ දහවලක් ,correct
සුභ සන්ධ්‍යාවක්,correct
වී වැපුරුවා.,correct
ගොයම් පැහුණා. ,correct
වෙලාව බලන්න,correct
සතුටින් ඉන්න,correct
මම එනවා.,correct
කතා කරන්න.,correct
වතුර ඕනෙ.,correct
කෑම කන්න.,correct
පොත් දෙන්න.,correct
බීම බොන්න.,correct
තදින් තල්ලු කරන්න,correct
ගෙදර වැඩ කරන්න,correct
දැන් පටන් ගන්න,correct
ඉක්මන්ට ඉවර කරන්න,correct
උදේ ම  ඇහැරෙන්න,correct
තරු ගණන් කරන්න,correct
මට උදව් කරන්න,correct
බය වෙන්න එපා,correct
දැන් හිනා වෙන්න,correct
ඒක කන්න එපා,correct
එහෙට යන්න එපා,correct
මම දන්නේ නෑ,correct
මට වතුර ඕන,correct
ඒක මගේ පොත,correct
මේක මගේ දේ,correct
මම ඉක්මනින් එන්නම්,correct
මම නිදාගෙන හිටියේ,correct
කෑම හරි රසයි,correct
සූර්යයා රස්නෙයි,correct
ඒක දැන් අලුත්,correct
අහස නිල් පාටයි,correct
ඔයාගේ නම මොකක්ද?,correct
කාර් එක කොහෙද?,correct
ඔයාට මොනවද ඕන?,correct
ගිහින් සෙල්ලම් කරන්න,correct
ගැඹුරින් හුස්ම ගන්න,correct
පහන් නිවා දමන්න,correct
කියන්න පටන් ගන්න,correct
ගේම් එක නවත්වන්න,correct
බඩු ගණන් කරන්න,correct
කොළය කොළ පාටයි,correct
බිම තෙමී ඇත,correct
කුරුල්ලා ගීත ගයනවා,correct
සීනුව නාද වෙනවා,correct
මට මේස් ඕන,correct
මට වැළඳගන්න ඕන,correct
මට පොඩි නින්දක් ඕන,correct
බාධා කරන්න එපා,correct
මේක අමතක කරන්න එපා,correct
නොදන්නා වියදම් කරන්න එපා,correct
කලබල වෙන්න එපා,correct
නැති කරන්න  එපා,correct
පමා වෙන්න එපා,correct
පැමිණිලි කරන්න එපා,correct
බොරුවක් කියන්න එපා,correct
තල්ලු කරන්න එපා,correct
ළමයි පාසල් යනවා ,correct
මම පාසල් යනවා  ,correct
අපි පාසල් යනවා,correct
මම මල් කඩනවා,correct
අමර මල් කඩනවා,correct
අපි මල් කඩනවා,correct
අපි අකුරු ලියනවා,correct
මම අකුරු ලියනවා,correct
ළමයි අකුරු ලියනවා,correct
ගුරුතුමිය උගන්නවා,correct
ගුරුතුමිය පාඩම් උගන්නවා,correct
අම්මා කෑම උයනවා,correct
තාත්තා වැඩට යනවා,correct
පින්තූරයේ වැවක් තියෙනවා. ,correct
ළමයි ඔංචිලි  පදිනවා.,correct
වැවේ ඔරුවක් යනවා.,correct
ළමයි පස්දෙනෙක් ඉන්නවා. ,correct
ලොකු ගහක් තියෙනවා. ,correct
යාළුවෝ  වැව් ඉවුරට ආවා,correct
මුහුදේ ලොකු නැව් යනවා,correct
අපි හැමෝම සින්දු කියනවා,correct
යාළුවෝ ගෙදර ගියා. ,correct
වී පැළ වුණා.,correct
මිදුලේ වතුර පිරුණා. ,correct
අහස කළු වුණා. ,correct
වැහි බිංදු වැටුණා. ,correct
පියා ලෙඩ වුණා,correct
කුඹුරේ නිධානයක් තියෙනවා,correct
ඒත් නිධානය ලැබුණේ නැහැ,correct
පුත්තු හතර දෙනා ධනවත් වුණා.,correct
සෙල්ලම් බඩුවක් තෑගි දෙනවා ,correct
මාළුවා වතුරේ පීනනවා,correct
කුරුල්ලෝ අහසේ පියබනවා,correct
සමනලයා පැණි බොනවා,correct
සුළගට ගස් වැනෙනවා,correct
අලියා වතුර බොනවා,correct
සිංහයා කෑගහනවා,correct
ගුරුතුමිය අකුරු කියාදෙනවා,correct
දොස්තර මහත්තයා බෙහෙත් දෙනවා,correct
සිංහයා ඈත එනවා,correct
ගෝණා දැක්කා.,correct
සෙල්ලම් බඩුවක් තෑගි කරනවා,correct
පුවරුවක් එල්ලුවා.,correct
කොළය මැදින් කැපුවා.,correct
සමනලයා තටු ගහනවා,correct
රන් කුඹලා ගෙයක් හදනවා,correct
සුදුසු බඳුනක් ගන්න.,correct
ළමයි නිශ්ශබ්ද වුණා,correct
අහසේ ඉර පායනවා,correct
අහසේ තරු පායනවා,correct
අහසේ හද පායනවා,correct
බස් රථය නතර කළා.,correct
එළියේ සෙල්ලම් කරන්න,correct
කාමරේ අස් කරන්න,correct
කෑ ගහන්න එපා,correct
මේක රස බලන්න,correct
පලතුරු ලෙලි ගහන්න,correct
හයියෙන් කතා කරන්න,correct
හොඳින් කතා කරන්න,correct
මේක ආයෙත් කියන්න,correct
බෝල සෙල්ලම් කරන්න,correct
හොඳට සෙල්ලම් කරන්න,correct
බෝලය විසි කරන්න,correct
විසි කරන්න එපා,correct
බෑග් එක ගේන්න,correct
දැන් විසි කරන්න,correct
සපත්තු ගැට ගහන්න,correct
අම්මට උදව් කරන්න,correct
තාත්තාට උදව් කරන්න,correct
දත් බුරුසුව  ගන්න,correct
මම වැඩ කරනවා.,correct
අපි ගෙදර යනවා.,correct
ළමයි සෙල්ලම් කරනවා.,correct
අපි බස් එකේ ආවා.,correct
ඔයා මෙතන ඉන්න.,correct
මම ඇතුළට එනවා.,correct
එයා එළියට ගියා.,correct
මට යන්න ඕනෙ.,correct
ගිහින් බලලා එන්න.,correct
අපි ආයෙත් එමු.,correct
වතුර ටිකක් දෙන්න.,correct
