Correct Sentenes,Wrong sentences
මම පන්ති කාමරයේ ඉතා නිහඬව සිටිමි.,මම නිහඬව කාමරයේ පන්ති ඉතා සිටිමි.
මම ගුරුතුමිය අපට දුන් පැවරුම කළෙමි.,මම පැවරුම අපට ගුරුතුමිය දුන් කළෙමි.
ගුරුතුමිය අපට ලස්සන කතන්දරයක් කීවා ය.,ගුරුතුමිය අපට කතන්දරයක් ලස්සන කීවා ය.
මම තම සොහොයුරිය පිළිබඳ ව සිතුවෙමි.,මම පිළිබඳ ව සොහොයුරිය  තම  සිතුවෙමි.
ගුරුවරයා පාඩම විචිත්‍ර ලෙස ඉගැන්වීය.,පාඩම ගුරුවරයා විචිත්‍ර ලෙස ඉගැන්වීය.
මිනිසුන් ධර්මය නිතර පිළිගන්නවා වෙති.,ධර්මය මිනිසුන් වෙති නිතර පිළිගන්නවා.
සූර්යයා උදෑසන පූර්ව දිශාවෙන් නැඟුණේය.,උදෑසන සූර්යයා දිශාවෙන් නැඟුණේය පූර්ව.
රාජ්‍යය වෙත නව සභාවක් පත් කරන ලදී.,නව සභාවක් රාජ්‍යය වෙත ලදී පත් කරන.
උන්වහන්සේ විශාල ග්‍රන්ථයක් නිර්මාණය කළසේක.,විශාල ග්‍රන්ථයක් උන්වහන්සේ කළසේක නිර්මාණය.
සිසුහු ක්‍රීඩාවේ දක්ෂතාව මැනවින් පෙන්වූහ.,දක්ෂතාව සිසුහු ක්‍රීඩාවේ පෙන්වූහ මැනවින්.
නගරය අතිශය ධනවත් ව්‍යාපාරිකයෙකු විය.,අතිශය ධනවත් ව්‍යාපාරිකයෙකු නගරය විය.
ජනතාව සියලු දුක්ඛිත තත්ත්වයන්ට මුහුණ දුන්හ.,දුක්ඛිත තත්ත්වයන්ට සියලු ජනතාව මුහුණ දුන්හ.
ලෝකයේ ප්‍රගතිය සඳහා නිරතුරුව යෙදේ.,නිරතුරුව ලෝකයේ ප්‍රගතිය සඳහා යෙදේ.
භික්ෂූන් විහාරයේ නිශ්ශබ්දව ධර්මය සාකච්ඡා කළහ.,ධර්මය භික්ෂූන් නිශ්ශබ්දව විහාරයේ සාකච්ඡා කළහ.
රාජ්‍ය නිලධාරීන් රාජකාරි කාරණා පරෙස්සමින් විමසා බලති.,කාරණා රාජ්‍ය නිලධාරීන් රාජකාරි බලති පරෙස්සමින් විමසා.
අපගේ තීරණය මුළු දේශය වෙතම බලපෑමක් විය.,මුළු අපගේ තීරණය දේශය වෙතම විය බලපෑමක්.
උගත් පණ්ඩිතයන් ප්‍රඥාව මනාව පරිශීලනය කළෝය.,ප්‍රඥාව උගත් පණ්ඩිතයන් පරිශීලනය කළෝය මනාව.
