index,date,game_name,player_name,success_count_mark,attempt_count,attempt_count_mark,score_total_level,game_level,engagement_time_Total_sec,improvement_score
1,11/1/2025 13:05,game1,player01,293,6,600,73,14,3641.160603,7.653411055
2,11/1/2025 9:42,game1,player01,421,8,800,76,5,2865.420321,4.873790255
3,11/1/2025 11:14,game1,player01,138,8,800,58,6,3701.957058,3.386252982
4,11/1/2025 18:12,game1,player01,287,8,800,67,2,4114.846683,3.068135647
5,11/1/2025 19:58,game1,player01,86,4,400,60,12,1907.592149,6.860612201
6,11/1/2025 8:27,game1,player01,168,9,900,59,13,4833.035992,5.128331112
7,11/1/2025 12:39,game1,player01,373,8,800,73,5,2998.499591,4.571215306
8,11/1/2025 16:20,game1,player01,739,9,900,91,15,5026.125843,9.205856429
9,11/1/2025 18:22,game1,player01,231,6,600,69,14,2741.512103,7.357822953
10,11/1/2025 19:46,game1,player01,445,5,500,92,1,3145.969458,5.169892282
11,11/1/2025 14:51,game1,player01,61,7,700,54,8,3066.284516,4.029421864
12,11/1/2025 17:04,game1,player01,190,5,500,69,2,2822.490572,3.947501048
13,11/1/2025 19:49,game1,player01,700,9,900,88,14,3212.782552,8.779457867
14,11/1/2025 14:46,game1,player01,857,9,900,97,10,4319.988672,8.470556255
15,11/1/2025 14:47,game1,player01,642,9,900,85,9,4349.365153,6.854854003
16,11/1/2025 18:28,game1,player01,718,8,800,94,12,3137.319935,8.769908338
17,11/1/2025 19:55,game1,player01,695,9,900,88,6,4111.612052,6.293419009
18,11/1/2025 10:09,game1,player01,688,9,900,88,12,4867.642449,8.003972688
19,11/1/2025 8:39,game1,player01,351,9,900,69,6,4467.618486,4.169221081
20,11/1/2025 14:42,game1,player01,6,5,500,50,5,2827.690747,3.722478806
21,11/1/2025 12:32,game1,player01,259,8,800,66,2,3768.902905,2.921048409
22,11/1/2025 14:12,game1,player01,76,8,800,54,15,2423.270886,5.796161744
23,11/1/2025 10:22,game1,player01,257,8,800,66,1,4546.951903,2.554795007
24,11/1/2025 10:36,game1,player01,759,9,900,92,3,3774.255767,5.805354582
25,11/1/2025 8:08,game1,player01,430,9,900,73,5,4062.089275,4.377031526
26,11/1/2025 19:54,game1,player01,357,9,900,69,5,4998.143098,3.873139315
27,11/1/2025 19:37,game1,player01,516,9,900,78,13,4577.349763,7.270780879
28,11/1/2025 13:53,game1,player01,406,7,700,79,9,2313.050933,6.49753564
29,11/1/2025 14:13,game1,player01,19,8,800,51,13,4113.125479,4.730477397
30,11/1/2025 18:41,game1,player01,160,2,200,90,10,629.1997768,7.803000062
31,11/1/2025 15:10,game1,player01,460,8,800,78,1,3987.632414,3.834192193
32,11/1/2025 17:28,game1,player01,258,9,900,64,4,2977.579388,3.09286547
33,11/1/2025 12:41,game1,player01,594,6,600,99,1,3258.12183,5.628322053
34,11/1/2025 11:22,game1,player01,384,5,500,88,7,2816.730581,6.633696602
35,11/1/2025 16:41,game1,player01,39,8,800,52,9,3916.5639,3.666349729
36,11/1/2025 10:31,game1,player01,170,4,400,71,9,2307.445338,6.41841037
37,11/1/2025 12:02,game1,player01,522,7,700,86,3,4236.183646,5.253794949
38,11/1/2025 15:07,game1,player01,181,7,700,62,14,3422.425917,6.534490007
39,11/1/2025 12:16,game1,player01,479,6,600,89,6,2517.73442,6.494098665
40,11/1/2025 14:16,game1,player01,159,8,800,59,11,4572.971166,4.954099225
